index,review,rating,acting,directing,script,sound,fun
1,종합 평점은 4점 드립니다.,4,0,0,0,0,0
2,원작이 칭송받는 이유는 웹툰 계 자체의 질적 저하가 심각하기 때문.  원작이나 영화나 별로인건 마찬가지.,1,0,0,1,0,0
3,나름의  감동도 있고 안타까운 마음에 가슴도 먹먹  배우들의 연기가 good 김수현 최고~,10,1,0,0,0,0
4,이런걸 돈주고 본 내자신이 후회스럽다 최악의 쓰레기 영화 김수현 밖에없는 저질 삼류영화,1,1,0,0,0,0
5,초반엔 코미디  후반엔 액션  결론은 코미디.,7,0,0,0,0,0
6,김수현은 멋있으나 일을 처리하려면 급하게 처리하지 말고 절차를 잘 밟아야 한다.,5,1,0,0,0,0
7,원작 어디에 팔아 먹었죠????,1,0,0,1,0,0
8,나름 웃긴장면도있고..지루하긴해도 나름 볼만하던데..?,6,0,0,0,0,1
9,그곳이호강하네여ㅎㅎ,1,0,0,0,0,0
10,재밌긴한데 좀 억지감동짜냄 좀 유치함,7,0,0,0,0,1
11,이게 어떻게 흥행했는지 궁금하다,1,0,0,0,0,0
12,내용이 정말 감동적이였다,9,0,0,1,0,0
13,어떤 영화든간에 10대 여자애들이 가장 좋아하는 영화이면 망작임.,6,0,0,0,0,0
14,김수현 연기 굿!!! ^^,10,1,0,0,0,0
15,만화랑 먼가 많이 다른데...?,6,0,0,1,0,0
16,완벽하게 노잼  칠 광 구 급,1,0,0,0,0,1
17,연기력에는 논하고 싶지는 않으나~ 흥미있는 소재를 잘 마무리 못지었다는 생각이든다. 전개과정까지 괜찮았는데 진지한 마무리를 해야되는 시점에서 결말이 참 아쉬운 부분이다. 좀더 현실성 있는 배경과 이야기로 연출되어 풀어 나갔으면 상당히 괜찮을뻔 했다.,7,1,1,1,0,0
18,진심 노잼 친구한테 끌려갔는데 돈 아까워 죽겠다 하품만 계속 나옴,3,0,0,0,0,1
19,김수현이라는 히든카드가 있었기에 이영화가  그나마  살아난  것  같다.,5,1,0,0,0,0
20,중수현도 비호감 각본도 비호감 감독도 비호감 모든게 비호감,1,1,1,1,0,0
21,나쁘지도 좋지도않은 그냥 그런영화.웹툰내용을 생략했다해도 1점은 너무하다생각됨,7,0,0,1,0,0
22,빨갱이 간첩 미화 영화.,1,0,0,0,0,0
